Order_id,Total_Sale,Quarter_id,Product_SKU,Region,order_size
10107,2871,1,S10_1678,NA,Small
10121,2765.9,2,S10_1678,EMEA,Small
10134,3884.34,3,S10_1678,EMEA,Medium
10145,3746.7,3,S10_1678,NA,Medium
10159,5205.27,4,S10_1678,NA,Medium
10168,3479.76,4,S10_1678,NA,Medium
10180,2497.77,4,S10_1678,EMEA,Small
10188,5512.32,4,S10_1678,EMEA,Medium
10201,2168.54,4,S10_1678,NA,Small
10211,4708.44,1,S10_1678,EMEA,Medium
10223,3965.66,1,S10_1678,APAC,Medium
10237,2333.12,2,S10_1678,NA,Small
10251,3188.64,2,S10_1678,NA,Medium
10263,3676.76,2,S10_1678,NA,Medium
10275,4177.35,3,S10_1678,EMEA,Medium
10285,4099.68,3,S10_1678,NA,Medium
10299,2597.39,3,S10_1678,EMEA,Small
10309,4394.38,4,S10_1678,EMEA,Medium
10318,4358.04,4,S10_1678,NA,Medium
10329,4396.14,4,S10_1678,NA,Medium
10341,7737.93,4,S10_1678,EMEA,Large
10361,1451,4,S10_1678,APAC,Small
10375,733.11,1,S10_1678,EMEA,Small
10388,3207.12,1,S10_1678,NA,Medium
10403,2434.56,2,S10_1678,EMEA,Small
10417,7516.08,2,S10_1678,EMEA,Large
10103,5404.62,1,S10_1949,EMEA,Medium
10112,7209.11,1,S10_1949,EMEA,Large
10126,7329.06,2,S10_1949,EMEA,Large
10140,7374.1,3,S10_1949,NA,Large
10150,10993.5,3,S10_1949,Japan,Large
10163,4860.24,4,S10_1949,NA,Medium
10174,8014.82,4,S10_1949,APAC,Large
10183,5372.57,4,S10_1949,NA,Medium
10194,7290.36,4,S10_1949,EMEA,Large
10206,9064.89,4,S10_1949,NA,Large
10215,6075.3,1,S10_1949,NA,Medium
10228,6463.23,1,S10_1949,NA,Medium
10245,6120.34,2,S10_1949,NA,Medium
10258,7680.64,2,S10_1949,Japan,Large
10270,4905.39,3,S10_1949,APAC,Medium
10280,8014.82,3,S10_1949,EMEA,Large
10291,7136.19,3,S10_1949,EMEA,Large
10304,10172.7,4,S10_1949,EMEA,Large
10312,11623.7,4,S10_1949,NA,Large
10322,6000.4,4,S10_1949,NA,Medium
10333,3003,4,S10_1949,NA,Medium
10347,3944.7,4,S10_1949,APAC,Medium
10357,5691.84,4,S10_1949,NA,Medium
10369,4514.92,1,S10_1949,NA,Medium
10381,8254.8,1,S10_1949,NA,Large
10391,2416.56,1,S10_1949,APAC,Small
10411,4140.23,2,S10_1949,NA,Medium
10424,12001,2,S10_1949,EMEA,Large
10107,3896.49,1,S10_2016,NA,Medium
10120,2793.86,2,S10_2016,APAC,Small
10134,3307.77,3,S10_2016,EMEA,Medium
10145,5192.95,3,S10_2016,NA,Medium
10159,5016.83,4,S10_2016,NA,Medium
10168,3660.93,4,S10_2016,NA,Medium
10180,4695.6,4,S10_2016,EMEA,Medium
10188,3660.92,4,S10_2016,EMEA,Medium
10201,3025.92,4,S10_2016,NA,Medium
10210,3009.09,1,S10_2016,Japan,Medium
10223,5422.39,1,S10_2016,APAC,Medium
10236,2852.08,2,S10_2016,NA,Small
