case_no,applicant_citizenship,visa_type,employer_name,job_city,job_state,wages,applicant_highest_education,major_study,decision_date,case_status
A-15315-38161,SOUTH KOREA,F-1,"TV COMMUNICATIONS, INC.",Los Angeles,CA,40144,High School,GENERAL,8/17/2016,Denied
A-16062-79271,LEBANON,H-1B,"1-0 CAPITAL, LLC",New York,NY,100755,Master's,COMPUTER SCIENCE,6/15/2016,Certified
A-16137-10337,INDIA,H-1B,"128 Technology, Inc",Burlington,MA,112632,Master's,COMPUTER SCIENCE,8/2/2016,Certified
A-16252-50820,SPAIN,H-1B,"128 Technology, Inc",Burlington,MA,130312,Bachelor's,COMPUTER SCIENCE,9/9/2016,Denied
A-16201-33960,INDIA,H-1B,"128 Technology, Inc",Burlington,MA,112632,Master's,ELECTRICAL AND COMPUTER ENGINEERING,9/21/2016,Certified
A-16246-49491,CANADA,H-1B,1463 WB Inc.,Baltimore,MD,46738,High School,GENERAL,9/12/2016,Denied
A-16124-04947,AFGHANISTAN,F-1,1700 PHARMACY INC,Philadelphia,PA,22734,High School,HIGH SCHOOL DIPLOMA,9/14/2016,Certified
A-16098-94385,INDIA,H-1B,"1800FLOWERS.COM,INC.",Carle Place,NY,72384,Master's,COMPUTER INFORMATION SYSTEMS,7/22/2016,Certified
A-15238-11981,MEXICO,H-1B,"1A AUTO, INC",Pepperell,MA,108160,Master's,COMPUTER AND INFORMATION SCIENCE,8/29/2016,Denied
A-16183-28754,UKRAINE,H-1B,"1B.USA, LLC",Miami Beach,FL,127837,Bachelor's,"ENGLISH, PHILOLOGY",9/21/2016,Certified
A-16014-61024,INDIA,H-1B,"1WAY SOLUTIONS, INC.",MARIETTA,GA,93371,Master's,CIVIL ENGINEERING,9/2/2016,Certified
A-16065-80650,INDIA,F-1,"1WAYSOLUTIONS, INC",Marietta,GA,93371,Master's,COMPUTER SCIENCE,6/15/2016,Certified
A-15357-54064,INDIA,H-1B,"1WAYSOLUTIONS, INC",Marietta,GA,93371,Master's,COMPUTER SCIENCE,6/15/2016,Certified
A-15349-50955,SOUTH KOREA,F-1,"2.7 AUGUST APPAREL, INC. DBA ENGLISH ROSE",Los Angeles,CA,20800,High School,GENERAL HIGH SCHOOL EDUCATION,5/27/2016,Denied
A-16131-07593,SOUTH KOREA,H-1B,"2.7 AUGUST APPAREL, INC. DBA ENGLISH ROSE",Los Angeles,CA,39312,Bachelor's,CLOTHING & TEXTILES,8/5/2016,Certified
A-16061-78770,INDIA,H-1B,211 Washington Street Inc Dba Zeppelin Hall,Jersey City,NJ,76066,Master's,TECHNOLOGY MANAGEMENT,6/15/2016,Certified
A-16127-06702,INDIA,H-1B,"23ANDME, INC",Mountain View,CA,138403,Master's,COMPUTER SCIENCE,9/22/2016,Certified
A-16154-17164,INDIA,H-1B,24 EAST 12TH STREET ASSOCIATES,NEW YORK,NY,65187,Bachelor's,ACCOUNTING,9/1/2016,Certified
A-16055-76274,NIGERIA,H-1B,"24 ON PHYSICIANS, PC",Alpharetta,GA,187199,Other,MEDICINE AND SURGERY,6/15/2016,Certified
A-16015-61686,INDIA,H-1B,"24 ON PHYSICIANS, PC",Alpharetta,GA,187199,Other,MEDICINE AND SURGERY,6/15/2016,Certified
A-16015-61581,ETHIOPIA,H-1B,"24 ON PHYSICIANS, PC",Alpharetta,GA,187199,Other,MEDICINE,6/15/2016,Certified
A-16013-60740,BELGIUM,H-1B,"24 ON PHYSICIANS, PC",Alpharetta,GA,187199,Other,MEDICINE,6/15/2016,Certified
A-16019-62363,INDIA,H-1B,"24 ON PHYSICIANS, PC",Alpharetta,GA,187199,Other,MEDICINE AND SURGERY,6/15/2016,Certified
A-15350-51424,INDIA,H-1B,"24 ON PHYSICIANS, PC",Alpharetta,GA,187199,Other,MEDICINE AND SURGERY,6/15/2016,Certified
A-15321-40564,NIGERIA,H-1B,24/7 BACKGROUND CHECK LLC,Dallas,TX,44928,Master's,"LIBRARY, ARCHIVAL AND INFORMATION STUDIES",7/13/2016,Certified
A-16182-28040,SOUTH KOREA,F-1,260 Park S. Beauty Corp,New York,NY,74048,Bachelor's,BUSINESS ADMINISTRATION/MANAGEMENT,9/14/2016,Certified
A-16147-15215,FRANCE,H-1B,2600hz,San Francisco,CA,96866,Master's,COMPUTER SCIENCE,9/15/2016,Certified
A-16048-73995,FRANCE,H-1B,"2K Games, Inc.",Novato,CA,138362,Master's,COMPUTER SCIENCE,6/10/2016,Certified
A-16097-93769,TURKEY,H-1B,"2K Games, Inc.",Novato,CA,107390,Doctorate,"BUSINESS (MBA, 2008)",7/25/2016,Certified
A-16035-69092,INDIA,H-1B,3 EDGE USA GROUP LLC,Piscataway,NJ,123490,Master's,COMPUTER SCIENCE,6/3/2016,Certified
A-16035-69136,INDIA,H-1B,3 EDGE USA GROUP LLC,Piscataway,NJ,63877,Bachelor's,COMPUTER SCIENCE,9/23/2016,Certified
A-16035-69179,INDIA,H-1B,3 EDGE USA GROUP LLC,Piscataway,NJ,123490,Bachelor's,ENGINEERING,9/23/2016,Certified
A-16035-69279,INDIA,H-1B,3 EDGE USA GROUP LLC,Piscataway,NJ,123490,Bachelor's,COMPUTER SCIENCE,9/23/2016,Certified
A-16034-68696,INDIA,H-1B,3 EDGE USA GROUP LLC,Piscataway,NJ,123490,Bachelor's,CIS,9/23/2016,Certified
A-16134-09802,JAPAN,F-1,345 Laguna Beach Dining Corporation,Laguna Beach,CA,26582,Bachelor's,LAW,8/17/2016,Certified
A-16008-59091,INDIA,H-1B,"360 It Professionals, Inc",Fremont,CA,134347,Master's,MANAGEMENT STUDIES,7/8/2016,Denied
A-16011-59719,INDIA,H-1B,"360 It Professionals, Inc",Fremont,CA,80683,Master's,BUSINESS ADMINISTRATION,7/11/2016,Denied
A-16006-58030,INDIA,F-1,"360 It Professionals, Inc",Fremont,CA,80995,Master's,INFORMATION TECHNOLOGY,7/13/2016,Denied
A-16006-58072,INDIA,F-1,"360 It Professionals, Inc",Fremont,CA,80995,Master's,ELECTRICAL ENGINEERING,7/28/2016,Certified
A-16057-77631,TAIWAN,H-1B,361 USA INC.,Irvine,CA,47882,Bachelor's,ACCOUNTING,6/15/2016,Certified
A-16173-24187,SOUTH KOREA,H-1B,37-17 UNION PHARMACY CORP.,Flushing,NY,84760,Other,PHARMACY,9/19/2016,Certified
A-16173-24399,CHINA,H-1B,3BTECH Inc,South Bend,IN,37378,Associate's,COMPUTER SOFTWARE ENGINEERING,8/19/2016,Denied
A-15282-26701,INDIA,H-1B,3CORE SYSTEMS INC,Austin,TX,98862,Master's,ELECTRICAL AND COMPUTER ENGINEERING,7/5/2016,Certified
A-15133-76072,INDIA,H-1B,3CORE SYSTEMS INC,Austin,TX,74755,Master's,INFORMATION SYSTEMS,7/5/2016,Certified
A-16139-11432,INDIA,H-1B,3CSI LLC,Northville,MI,63918,Master's,INFORMATION SYSTEMS,8/3/2016,Certified
A-16015-61854,INDIA,H-1B,3Cube Solutions Inc,Sterling,VA,83782,Master's,ENGINEERING,6/7/2016,Certified
A-16020-63065,INDIA,H-1B,3Cube Solutions Inc,Sterling,VA,88878,Master's,ENGINEERING,6/15/2016,Certified
A-15295-31536,SOUTH KOREA,F-1,3D ACCESS INDUSTRIES,Fremont,CA,46467,Bachelor's,PSYCHOLOGY,6/3/2016,Certified
A-15273-23681,SOUTH KOREA,F-2,"3D COSMETICS & DENTURE, INC.",ANNANDALE,VA,28371,None,,6/29/2016,Withdrawn
A-16026-65374,CHINA,H-1B,"3D Systems, Inc.",Valencia,CA,84448,Master's,ELECTRIC ENGINEERING,7/21/2016,Withdrawn
A-16159-18793,EL SALVADOR,H-1B,"3D Systems, Inc.",Rock Hill,SC,58635,Bachelor's,MECHANICAL ENGINEERING,9/21/2016,Certified
A-16117-02009,BANGLADESH,H-1B,"3Dent Technology, LLC",Houston,TX,96928,Master's,ENVIRONMENTAL & CIVIL ENGINEERIG,7/13/2016,Certified
A-15302-34105,INDIA,H-1B,3DI INC,Brea,CA,73653,Master's,ELECTRICAL ENGINEERING,6/22/2016,Certified
A-16085-89457,INDIA,H-1B,3DI INC,Los Angeles,CA,175947,Bachelor's,MECHANICAL ENGINEERING,9/13/2016,Certified
A-16048-73865,HUNGARY,H-1B,3DNA Corp,Los Angeles,CA,100672,Bachelor's,CIS (PROGRAMME DESIGN MATHEMATICS),6/15/2016,Certified
A-15152-81640,INDIA,H-1B,"3E CONSULTING, INC.",Boca Raton,FL,102066,Bachelor's,ELECTRICAL AND COMPUTER ENGINEERING,8/29/2016,Denied
A-15274-24103,NEPAL,H-1B,3I INFOTECH INC.,EDISON,NJ,93018,Bachelor's,SCIENCE,8/9/2016,Withdrawn
A-16200-33679,INDIA,H-1B,3I INFOTECH INC.,EDISON,NJ,124925,Master's,BUSINESS ADMINISTRATION,9/21/2016,Certified
A-16209-36284,INDIA,H-1B,3I INFOTECH INC.,EDISON,NJ,123490,Bachelor's,TECHNOLOGY,9/23/2016,Certified
A-16054-76002,INDIA,H-1B,"3I PEOPLE, INC.",Alpharetta,GA,100422,Bachelor's,FINANCE (EVALUATED),6/15/2016,Certified
A-16029-67184,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,80572,Master's,COMPUTER SCIENCE,6/6/2016,Certified
A-16039-70362,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,125703,Bachelor's,ELECTRONIC ENGINEERING (ELECTRONICS AND COMMUNICATION ENGINEERING),6/8/2016,Certified
A-16053-75530,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,126000,Bachelor's,ELECTRONIC ENGINEERING (ELECTRICAL & ELECTRONICS ENGINEERING),6/13/2016,Certified
A-16053-75536,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,126151,Bachelor's,ELECTRONIC ENGINEERING (ELECTRONICS & INSTRUMENTATION ENGINEERING),6/13/2016,Certified
A-16049-74320,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,127837,Bachelor's,COMPUTER ENGINEERING (COMPUTER SCIENCE ENGINEERING),6/16/2016,Certified
A-15174-90098,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,102530,Bachelor's,COMPUTER ENGINEERING (COMPUTER SCIENCE & ENGINEERING),7/14/2016,Certified
A-16090-91155,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,106072,Bachelor's,COMPUTER SCIENCE,7/22/2016,Certified
A-16042-71920,INDIA,H-1B,3K TECHNOLOGIES LLC,Milpitas,CA,127837,None,,9/16/2016,Certified
A-15328-43172,CHINA,F-1,3PL Business Inc.,New York,NY,55370,Master's,PUBLIC ADMINISTRATION,7/15/2016,Certified
A-16032-67488,INDIA,H-1B,3S BUSINESS CORPORATION,HOUSTON,TX,82618,Master's,ENGINEERING,6/2/2016,Certified
A-16055-76451,INDIA,H-1B,3S BUSINESS CORPORATION,Houston,TX,82618,Master's,ENGINEERING,6/13/2016,Certified
A-16065-80667,INDIA,H-1B,3S BUSINESS CORPORATION,Houston,TX,82618,Master's,ENGINEERING,6/15/2016,Certified
A-16075-84804,INDIA,H-1B,3S BUSINESS CORPORATION,Houston,TX,82618,Master's,COMPUTING AND INFORMATION SYSTEMS,6/15/2016,Certified
A-16053-75547,INDIA,F-1,3S BUSINESS CORPORATION,Houston,TX,82763,Master's,TECHNOLOGY,9/22/2016,Certified
A-16060-78283,INDIA,H-1B,3S BUSINESS CORPORATION,Houston,TX,82763,Master's,CHEMISTRY,9/22/2016,Certified
A-16048-73734,INDIA,H-1B,3S BUSINESS CORPORATION,Houston,TX,82618,Master's,COMPUTER SCIENCE,9/22/2016,Certified
A-16053-75487,INDIA,H-1B,3S BUSINESS CORPORATION,Houston,TX,82618,Master's,ENGINEERING,9/22/2016,Certified
A-16055-76625,IRAN,H-1B,3S NETWORK INC,Rancho Santa Margarita,CA,95243,Bachelor's,ELECTRICAL ENGINEERING,7/11/2016,Certified
A-16175-25451,INDIA,H-1B,3Sharp,Redmond,WA,101088,Master's,MANAGEMENT INFORMATION SYSTEMS,9/13/2016,Certified
A-16160-19698,INDIA,H-1B,"3VR SECURITY, INC.",San Francisco,CA,138362,Master's,ELECTRICAL ENGINEERING,9/21/2016,Certified
A-16159-19088,INDIA,H-1B,"3VR SECURITY, INC.",San Francisco,CA,102357,Master's,COMPUTER SCIENCE,9/21/2016,Certified
A-16160-19687,CHINA,H-1B,"3VR SECURITY, INC.",San Francisco,CA,138362,Doctorate,COMPUTER SCIENCE,9/22/2016,Certified
A-16097-93513,ISRAEL,H-1B,452 Fifth Owners LLC,New York,NY,153546,Master's,BUSINESS ADMINISTRATION,7/19/2016,Certified
A-16161-19782,UKRAINE,H-1B,4C INSIGHTS INC.,Chicago,IL,150259,Bachelor's,BUSINESS ADMINISTRATION (SEE H.14),9/23/2016,Certified
